X,Y,OBJECTID,NoticeNum,DateNotice,DateCancel,DateAbate,NT,OWNER_ABBR,HousingMarketTypology2023,Council_District,Neighborhood,BLOCKLOT,Address
1411595.96652173,588072.437295645,9,602095A,2010/07/17 10:50:00+00,,,Vacant,,J,9,Carrollton Ridge,0702 052,2109 WILKENS AVE
1411646.07731389,588094.649193481,13,333350A,2008/06/26 16:27:00+00,,,Vacant,,J,9,Carrollton Ridge,0702 056,2101 WILKENS AVE
1412037.22679405,588256.568817139,14,2188893A,2022/12/05 13:52:00+00,,,Vacant,,J,9,Carrollton Ridge,0703 001,2001 WILKENS AVE
1412022.7120593,588250.14133656,15,2344541A,2024/02/01 10:08:00+00,,,Vacant,,J,9,Carrollton Ridge,0703 002,2003 WILKENS AVE
1411983.51758389,588234.122667804,19,2057399A,2021/11/05 12:41:00+00,,,Vacant,,J,9,Carrollton Ridge,0703 005,2009 WILKENS AVE
1411919.94028322,588205.183093145,24,286076A,2008/01/25 14:45:00+00,,,Vacant,,J,9,Carrollton Ridge,0703 010,2019 WILKENS AVE
1411880.91247414,588190.125708565,27,2471895A,2025/01/16 12:33:00+00,,,Vacant,,J,9,Carrollton Ridge,0703 013,2025 WILKENS AVE
1411855.29868022,588177.895089984,29,2204658A,2023/02/07 13:52:00+00,,,Vacant,,J,9,Carrollton Ridge,0703 015,2029 WILKENS AVE
1411841.99194831,588173.634927899,30,1909805A,2020/06/30 08:45:00+00,,,Vacant,,J,9,Carrollton Ridge,0703 016,2031 WILKENS AVE
1411764.81657772,588140.524429813,36,1869872A,2020/01/02 17:23:00+00,,,Vacant,,J,9,Carrollton Ridge,0703 022,2043 WILKENS AVE
1411880.50597888,588077.648571312,48,1585676A,2017/09/08 16:30:00+00,,,Vacant,,J,9,Carrollton Ridge,0703 035,2024 EAGLE ST
1411892.03482722,588081.807355642,49,2451736A,2024/10/31 07:09:00+00,,,Vacant,,J,9,Carrollton Ridge,0703 036,2022 EAGLE ST
1411935.34642039,588101.247605473,53,2594923A,2025/12/04 18:20:00+00,,,Vacant,,J,9,Carrollton Ridge,0703 040,2014 EAGLE ST
1411969.23513214,588115.194756061,56,1471931A,2016/12/23 09:44:00+00,,,Vacant,,J,9,Carrollton Ridge,0703 043,2008 EAGLE ST
1412277.59967288,588359.721826062,68,1512989A,2017/03/29 21:11:00+00,,,Vacant,,J,9,Carrollton Ridge,0704 007,1913 WILKENS AVE
1412265.07443547,588354.313372314,69,1456124A,2016/10/12 15:41:00+00,,,Vacant,,J,9,Carrollton Ridge,0704 008,1915 WILKENS AVE
1412252.70110063,588348.98004964,70,1114343A,2014/07/13 12:33:00+00,,,Vacant,,J,9,Carrollton Ridge,0704 009,1917 WILKENS AVE
1412239.6289483,588343.338984817,71,1970910A,2021/02/13 22:43:00+00,,,Vacant,,J,9,Carrollton Ridge,0704 010,1919 WILKENS AVE
