neighborhood,crime_events,crime_total_incidents,violent_events,shooting_events,vacant_notices,active_vacant_notices,closed_or_abated_vacant_notices,crime_events_per_active_vacant_notice
Carrollton Ridge,1481,1481,700,33,750,750,0,1.974667
Broadway East,1421,1421,557,24,725,725,0,1.960000
Sandtown-Winchester,2455,2455,1193,27,611,611,0,4.018003
Harlem Park,1258,1258,511,14,458,458,0,2.746725
Oliver,1774,1774,637,16,340,340,0,5.217647
Midtown-Edmondson,548,548,252,5,334,334,0,1.640719
East Baltimore Midway,1616,1616,599,18,333,333,0,4.852853
Penrose/Fayette Street Outreach,1396,1396,515,20,322,322,0,4.335404
Central Park Heights,1950,1950,782,39,321,321,0,6.074766
Mount Clare,372,372,154,3,295,295,0,1.261017
Mondawmin,1870,1870,845,20,286,286,0,6.538462
Shipley Hill,570,570,239,8,274,274,0,2.080292
Penn North,1145,1145,556,24,268,268,0,4.272388
Upton,2306,2306,1162,45,262,262,0,8.801527
Coldstream Homestead Montebello,1886,1886,698,17,250,250,0,7.544000
Franklin Square,1234,1234,505,15,242,242,0,5.099174
Mosher,405,405,168,8,173,173,0,2.341040
Park Circle,767,767,295,7,169,169,0,4.538462
Coppin Heights/Ash-Co-East,697,697,308,9,167,167,0,4.173653
Brooklyn,3878,3878,1252,74,160,160,0,24.237500
Easterwood,555,555,234,4,160,160,0,3.468750
Franklintown Road,582,582,265,9,154,154,0,3.779221
Northwest Community Action,466,466,215,9,151,151,0,3.086093
Millhill,850,850,392,8,141,141,0,6.028369
Berea,1121,1121,391,10,135,135,0,8.303704
Druid Heights,697,697,317,11,133,133,0,5.240602
Boyd-Booth,203,203,87,2,130,130,0,1.561538
McElderry Park,1666,1666,662,28,126,126,0,13.222222
Greenspring,611,611,246,4,126,126,0,4.849206
Westport,558,558,219,10,126,126,0,4.428571
Curtis Bay,1539,1539,465,10,125,125,0,12.312000
Rosemont,758,758,305,10,118,118,0,6.423729
Auchentoroly-Parkwood,307,307,126,7,107,107,0,2.869159
Darley Park,346,346,132,7,105,105,0,3.295238
Walbrook,738,738,247,8,102,102,0,7.235294
Ellwood Park/Monument,1442,1442,609,17,101,101,0,14.277228
Arlington,696,696,298,11,100,100,0,6.960000
Johnston Square,955,955,334,15,93,93,0,10.268817
Washington Village/Pigtown,2308,2308,684,13,92,92,0,25.086957
Winchester,338,338,142,8,91,91,0,3.714286
Rosemont Homeowners/Tenants,503,503,205,9,88,88,0,5.715909
Union Square,439,439,120,3,79,79,0,5.556962
Belair-Edison,4278,4278,1461,33,74,74,0,57.810811
South Clifton Park,413,413,178,7,74,74,0,5.581081
Allendale,986,986,410,4,71,71,0,13.887324
Madison-Eastend,713,713,318,8,70,70,0,10.185714
Biddle Street,358,358,140,3,65,65,0,5.507692
Towanda-Grantley,360,360,143,8,62,62,0,5.806452
Saint Josephs,519,519,205,5,60,60,0,8.650000
Milton-Montford,490,490,200,2,60,60,0,8.166667
Carroll-South Hilton,485,485,185,3,58,58,0,8.362069
Cherry Hill,2868,2868,964,20,55,55,0,52.145455
Downtown,7388,7388,3022,49,52,52,0,142.076923
Hollins Market,791,791,277,9,52,52,0,15.211538
Langston Hughes,318,318,122,2,47,47,0,6.765957
Poppleton,1003,1003,420,13,44,44,0,22.795455
Edgewood,641,641,247,10,43,43,0,14.906977
Irvington,1408,1408,467,9,42,42,0,33.523810
Morrell Park,1688,1688,524,7,41,41,0,41.170732
Baltimore Highlands,1327,1327,482,14,40,40,0,33.175000
Gwynns Falls,445,445,126,1,40,40,0,11.125000
Barclay,1027,1027,374,10,38,38,0,27.026316
Better Waverly,1619,1619,462,2,37,37,0,43.756757
Reservoir Hill,1485,1485,455,3,35,35,0,42.428571
Middle East,1188,1188,286,2,34,34,0,34.941176
Oldtown,1358,1358,567,12,33,33,0,41.151515
Lucille Park,197,197,71,5,33,33,0,5.969697
Howard Park,1145,1145,410,7,32,32,0,35.781250
Mount Holly,398,398,128,2,32,32,0,12.437500
Patterson Park Neighborhood,2375,2375,470,6,29,29,0,81.896552
Hanlon-Longwood,583,583,232,4,28,28,0,20.821429
Four By Four,313,313,142,6,26,26,0,12.038462
Concerned Citizens of Forest Park,345,345,149,0,25,25,0,13.800000
Pen Lucy,831,831,312,1,24,24,0,34.625000
Dorchester,401,401,164,1,24,24,0,16.708333
Harwood,445,445,137,4,23,23,0,19.347826
Hampden,2302,2302,463,2,22,22,0,104.636364
CARE,766,766,205,2,21,21,0,36.476190
Bridgeview/Greenlawn,636,636,247,5,21,21,0,30.285714
Wilson Park,282,282,118,2,21,21,0,13.428571
Gay Street,1100,1100,454,16,20,20,0,55.000000
Woodmere,1021,1021,289,12,20,20,0,51.050000
Edmondson Village,821,821,273,5,20,20,0,41.050000
Canton,3221,3221,477,3,19,19,0,169.526316
Madison Park,841,841,304,6,19,19,0,44.263158
Parklane,489,489,191,4,19,19,0,25.736842
Woodbourne-McCabe,325,325,133,4,18,18,0,18.055556
Frankford,4716,4716,1429,26,17,17,0,277.411765
Washington Hill,1116,1116,294,5,17,17,0,65.647059
Jonestown,643,643,224,8,17,17,0,37.823529
Dolfield,569,569,207,2,17,17,0,33.470588
Forest Park,567,567,160,3,17,17,0,33.352941
Windsor Hills,276,276,98,0,17,17,0,16.235294
Lakeland,1294,1294,418,10,16,16,0,80.875000
West Forest Park,504,504,188,0,16,16,0,31.500000
Waltherson,1169,1169,285,6,15,15,0,77.933333
Waverly,716,716,223,13,15,15,0,47.733333
Cylburn,485,485,172,2,15,15,0,32.333333
Fells Point,2243,2243,864,19,14,14,0,160.214286
Charles North,1281,1281,517,19,14,14,0,91.500000
Greektown,1027,1027,328,3,14,14,0,73.357143
Abell,460,460,128,7,14,14,0,32.857143
Pimlico Good Neighbors,329,329,111,4,14,14,0,23.500000
Callaway-Garrison,443,443,184,5,13,13,0,34.076923
Hamilton,379,379,140,1,13,13,0,29.153846
Upper Fells Point,969,969,193,1,12,12,0,80.750000
North Harford Road,915,915,254,4,12,12,0,76.250000
Patterson Place,455,455,90,1,12,12,0,37.916667
Winston-Govans,406,406,95,2,12,12,0,33.833333
Kresson,382,382,115,1,12,12,0,31.833333
Highlandtown,1534,1534,381,0,11,11,0,139.454545
Mid-Govans,429,429,153,0,11,11,0,39.000000
Central Forest Park,363,363,128,2,11,11,0,33.000000
Panway/Braddish Avenue,327,327,90,1,11,11,0,29.727273
Garwyn Oaks,285,285,119,4,11,11,0,25.909091
Evergreen Lawn,267,267,91,4,11,11,0,24.272727
Mount Winans,171,171,50,2,11,11,0,15.545455
West Arlington,355,355,110,2,10,10,0,35.500000
Parkway,58,58,15,2,10,10,0,5.800000
Bayview,668,668,259,0,9,9,0,74.222222
Ashburton,494,494,131,4,9,9,0,54.888889
Lauraville,659,659,204,0,8,8,0,82.375000
Rognel Heights,446,446,150,6,8,8,0,55.750000
Oakenshawe,248,248,64,6,8,8,0,31.000000
Butchers Hill,203,203,39,0,8,8,0,25.375000
