NoticeNum,DateNotice,DateCancel,DateAbate,NT,Council_District,Neighborhood,Address
602095A,1279363800000,,,Vacant,9,Carrollton Ridge,2109 WILKENS AVE
333350A,1214497620000,,,Vacant,9,Carrollton Ridge,2101 WILKENS AVE
2188893A,1670248320000,,,Vacant,9,Carrollton Ridge,2001 WILKENS AVE
2344541A,1706782080000,,,Vacant,9,Carrollton Ridge,2003 WILKENS AVE
2057399A,1636116060000,,,Vacant,9,Carrollton Ridge,2009 WILKENS AVE
286076A,1201272300000,,,Vacant,9,Carrollton Ridge,2019 WILKENS AVE
2471895A,1737030780000,,,Vacant,9,Carrollton Ridge,2025 WILKENS AVE
2204658A,1675777920000,,,Vacant,9,Carrollton Ridge,2029 WILKENS AVE
1909805A,1593506700000,,,Vacant,9,Carrollton Ridge,2031 WILKENS AVE
1869872A,1577985780000,,,Vacant,9,Carrollton Ridge,2043 WILKENS AVE
1585676A,1504888200000,,,Vacant,9,Carrollton Ridge,2024 EAGLE ST
2451736A,1730358540000,,,Vacant,9,Carrollton Ridge,2022 EAGLE ST
2594923A,1764872400000,,,Vacant,9,Carrollton Ridge,2014 EAGLE ST
1471931A,1482486240000,,,Vacant,9,Carrollton Ridge,2008 EAGLE ST
1512989A,1490821860000,,,Vacant,9,Carrollton Ridge,1913 WILKENS AVE
1456124A,1476286860000,,,Vacant,9,Carrollton Ridge,1915 WILKENS AVE
1114343A,1405254780000,,,Vacant,9,Carrollton Ridge,1917 WILKENS AVE
1970910A,1613256180000,,,Vacant,9,Carrollton Ridge,1919 WILKENS AVE
2453380A,1730367780000,,,Vacant,9,Carrollton Ridge,1925 WILKENS AVE
2470904A,1737109800000,,,Vacant,9,Carrollton Ridge,1927 WILKENS AVE
1303833A,1444731600000,,,Vacant,9,Carrollton Ridge,1929 WILKENS AVE
1514340A,1490630820000,,,Vacant,9,Carrollton Ridge,1931 WILKENS AVE
2343156A,1706700600000,,,Vacant,9,Carrollton Ridge,1933 WILKENS AVE
675339A,1298037420000,,,Vacant,9,Carrollton Ridge,510 S MONROE ST
1072375A,1404405600000,,,Vacant,9,Mount Clare,1702 COLE ST
1651371A,1521847620000,,,Vacant,9,Mount Clare,1711 WILKENS AVE
2604782A,1768991580000,,,Vacant,9,Mount Clare,1708 COLE ST
2459227A,1732627740000,,,Vacant,9,Mount Clare,1710 COLE ST
438749A,1243421940000,,,Vacant,9,Mount Clare,420 S MOUNT ST
2613194A,1770909840000,,,Vacant,9,Hollins Market,1121 W LOMBARD ST
1296845A,1442591520000,,,Vacant,9,Hollins Market,1119 W LOMBARD ST
298819A,1205508780000,,,Vacant,9,Hollins Market, 
2554925A,1755657900000,,,Vacant,9,Hollins Market,124 S CARLTON ST
1878683A,1581703080000,,,Vacant,9,Hollins Market,1011 W LOMBARD ST
