RowID,CCNumber,CrimeDateTime,CrimeCode,Description,Inside_Outside,Weapon,Post,Gender,Age,Race,Ethnicity,Location,Old_District,New_District,Neighborhood,Latitude,Longitude,GeoLocation,PremiseType,Total_Incidents,x,y
1,14I10336,8/29/2014 12:00:00 PM,5A,BURGLARY,,NA,835,M,52,UNKNOWN,,2700 W FAIRMOUNT AVE,SOUTHWEST,N/A,SHIPLEY HILL,39.288352111548775,-76.660731200606335,"(39.288352111548775,-76.660731200606335)",ROW/TOWNHOUSE-VAC,1,-76.660731201,39.288352112
2,14H13075,8/29/2014 11:45:00 PM,4E,COMMON ASSAULT,,NA,515,F,24,BLACK_OR_AFRICAN_AMERICAN,,500 E 38TH ST,NORTHERN,N/A,WAVERLY,39.335514488267016,-76.60789683728612,"(39.335514488267016,-76.60789683728612)",ROW/TOWNHOUSE-OCC,1,-76.6078968369999,39.3355144880001
3,14H13066,8/29/2014 11:10:00 PM,6G,LARCENY,,NA,114,F,44,BLACK_OR_AFRICAN_AMERICAN,,200 PARK AVE,CENTRAL,N/A,DOWNTOWN,39.292552601970897,-76.618254674552134,"(39.292552601970897,-76.618254674552134)",BAR,1,-76.6182546749999,39.2925526020001
4,14I00593,8/29/2014 7:00:00 AM,6J,LARCENY,,NA,732,,,UNKNOWN,,1700 GWYNNS FALLS PKWY,WESTERN,N/A,PARKVIEW/WOODBROOK,39.316813840390076,-76.649889876952656,"(39.316813840390076,-76.649889876952656)",STREET              ,1,-76.649889877,39.3168138400001
5,14H13360,8/29/2014 11:30:00 PM,6G,LARCENY,,NA,213,F,26,WHITE,,900 S BOND ST,SOUTHEAST,N/A,FELLS POINT,39.28080478810265,-76.594749640946659,"(39.28080478810265,-76.594749640946659)",BAR,1,-76.594749641,39.2808047880001
6,14H12804,8/29/2014 11:25:00 AM,4E,COMMON ASSAULT,,NA,412,F,30,BLACK_OR_AFRICAN_AMERICAN,,1600 ROUNDHILL RD,NORTHEAST,N/A,HILLEN,39.338103415204927,-76.591011276689429,"(39.338103415204927,-76.591011276689429)",APT/CONDO - OCCUPIED,1,-76.591011277,39.338103415
7,14H13306,8/29/2014 7:30:00 PM,6D,LARCENY FROM AUTO,,NA,525,M,61,WHITE,,400 NORTHWAY,NORTHERN,N/A,GUILFORD,39.34323650749802,-76.611003103805444,"(39.34323650749802,-76.611003103805444)",STREET              ,1,-76.611003104,39.343236507
8,14I02244,8/29/2014 3:00:00 PM,6J,LARCENY,,NA,622,F,72,BLACK_OR_AFRICAN_AMERICAN,,5100 GWYNN OAK AVE,NORTHWEST,N/A,HOWARD PARK,39.329692931129486,-76.703230151959914,"(39.329692931129486,-76.703230151959914)",OTHER - INSIDE      ,1,-76.7032301519999,39.3296929310001
9,14H13192,8/29/2014 7:30:00 PM,5A,BURGLARY,,NA,911,M,27,UNKNOWN,,4600 PENNINGTON AVE,SOUTHERN,N/A,CURTIS BAY,39.224254640916975,-76.588195587294123,"(39.224254640916975,-76.588195587294123)",ROW/TOWNHOUSE-OCC,1,-76.588195587,39.2242546410001
10,14H13128,8/29/2014 1:10:00 PM,6D,LARCENY FROM AUTO,,NA,415,M,61,BLACK_OR_AFRICAN_AMERICAN,,1600 NORTHBOURNE RD,NORTHEAST,N/A,PERRING LOCH,39.354274771295977,-76.584503484402447,"(39.354274771295977,-76.584503484402447)",ALLEY,1,-76.584503484,39.3542747710001
11,14H13256,8/29/2014 5:00:00 PM,6D,LARCENY FROM AUTO,,NA,421,M,,WHITE,,2700 WOODSDALE AVE,NORTHEAST,N/A,LAURAVILLE,39.343461099480635,-76.579384247812158,"(39.343461099480635,-76.579384247812158)",ROW/TOWNHOUSE-OCC,1,-76.5793842479999,39.3434610990001
12,14I01036,8/29/2014 3:30:00 PM,6G,LARCENY,,NA,513,M,37,WHITE,,300 E 32ND ST,NORTHERN,N/A,ABELL,39.327104373972588,-76.612798476708605,"(39.327104373972588,-76.612798476708605)",APT/CONDO - OCCUPIED,1,-76.612798477,39.327104374
